sector,a,b,c,d
T70721A,-4.4988710875861715,-42.19821068868798,320.31635833875964,1.098838344891848
T70721B,-5.738788152579997,-21.902241987041606,1625.9906834103697,6.464308837373922
T70721C,-5.309959922330385,-25.310643053411646,92.10721270359505,0.3051292732499035
T70722A,-2.59488914194364,1.845601800257148,0.035557224848144844,-0.1540707477093501
T70722B,-0.0009848473888642794,7.169424910063911,0.000659099372138294,-1291.7837476289596
T70722C,-1.543127318068006,5.3299511271992115,8.516255455580042e-08,-195.45325769286669
T70724A,-1.6677721103459506,-769.6507031876074,4436.922115008929,10.798921460293528
T70724B,-2.0693468640526707,-3923.6896264726197,2834.95875891977,9.462122344243108
T70724C,-1.5249150527442936,5.6084218665215575,-2.13417818151668e-07,-269.1098945770337
T70725A,-1.171655373922682,2.446273816355959,0.062072084843905806,0.5398924621756596
T70725B,-1.5191330556566605,-2161.48956580836,29.55023746576435,14.065479974357554
T70725C,-2.4237939982006775,-277.854840769814,4586.354716653365,16.60709798017752
T70730A,-1.4059864878488897,5.267809269380481,-6.42429016696929e-08,-172.62651231545578
T70730B,-1.6123827886005337,-2304.3309572710327,120.7299215846158,12.66401502016348
T70730C,-3.3785741407012284,-47.10655751224897,93.90481046555993,11.089438620314667
T70735A,-2.199279489744271,0.7062136525652252,0.31767890460857784,7.8297384909984755
T70735B,-2.1360764713451075,-60.583860237983586,4763.208236987537,7.3614038298868945
T70735C,-1.7873724765141532,-41.21419023767895,2518.181940337778,11.286850888295584
T70737A,0.0006964520434744754,7.288016497662377,0.0006029073315727104,-1456.7679037122598
T70737B,2.4239292062231232,11.537633636097654,0.0001095467418437311,-102493.64707756821
T70737C,-2.323042653469701,1.4981794512764208,0.964411808411546,5.747262730538943
T70738A,-1.3390983531868736,2.368712468547948,0.038332414745774576,7.265536018354079
T70738B,2.6857560035610746,11.799633579168322,0.00011041352194172965,-133197.55519564392
T70738C,-1.530329415287002,5.319975457327233,-7.01015711220451e-07,-196.44479031444104
T70743A,-1.3151222605581274,6.831648980585931,0.0002757344701322591,-926.2710627965365
T70743B,-3.0393266240894232,-0.6574800868328771,39.39459007231676,8.01941061565255
T70743C,-2.9882564040003947,-88.2809121587604,28.335237733302225,3.917769892625179
T70744A,-0.5487532725370862,-979.3341866133267,3554.5560782680664,26.664482599367627
T70744B,-0.39934868093605846,3.9277603085399426,0.03657613992465644,-19.016125200308466
T70744C,-1.781846656711759,5.662109832445878,2.2249100449085026e-07,-282.87352672802695
T70745A,-1.2679008449007856,2.416302535122749,0.05107411987133416,-1.6349806479278524
T70745B,0.7696772889706637,8.547930688090174,0.00038171040476151543,-5147.943454938164
T70745C,-3.7706341521674434,-22.322224586491277,4632.6149484097405,6.970901045171853
T70747A,0.7543135852684034,8.423635733019616,0.0004678946564463141,-4551.386260141354
T70747B,-1.4355178255694763,3.3100596824577178,0.013280331772433632,-24.97874608076529
T70747C,-1.6208239778093072,-28.920335354182974,4987.6329188612135,22.453184806611876
T76995A,-4.6767197288646445,-55.51748432738773,5009.728760842677,13.037908773404027
T76995B,-2.9459293234129023,-0.013970011080475207,0.18343768283872994,1.4969488944413434
T76995C,-2.514063258354195,0.8028665005519806,4.936194577229908,6.235376844827799
T77125A,-1.669218594994896,4.942715348173029,1.3624187856159578e-07,-140.30338909216385
T77125B,-1.885329150509076,5.699952596597748,-2.6151025404755443e-07,-297.4557983672967
T77125C,-0.7652274822230462,4.976052934460376,1.0708400601607203e-06,-127.90336670618204
T78256A,-1.860132551697017,4.705731814124565,0.0003611151980705952,-97.20390720830062
T78256B,-1.4502682545708852,-42.79643300826051,4920.533695879761,20.943962022720513
T78256C,1.9119423627224097,10.193315915696829,0.0002518593917058442,-26706.889879628165
T78258A,3.427389540791132,12.515880159649416,0.00011348374978305865,-272622.02676579176
T78258B,-0.47519163315606666,4.613381019326407,9.814647554757149e-07,-88.13309446706191
T78258C,-0.6236984658912308,3.8972980154722614,0.030011042558189045,-15.110266864271395
T78259A,-1.912105453672233,-2455.980352374257,66.9027370053055,9.808696385913155
T78259B,-1.8624386377516287,-4092.2001269054763,4597.141305726968,8.276516037242471
T78259C,3.5887002462499864,12.538499434999668,0.00013025352773074424,-278862.70796656155
T78262A,2.917723885506688,11.837272961583421,0.00013274043895498605,-138297.6901764257
